"Consensus length","Total read count","Reference sequence","Reference common name","Reference Latin name"
"703","4689173","ENA|AY426531|","Fermon","Human enterovirus 68"
"0","0","ENA|D00820|","J670/71","Human enterovirus 70"
"0","0","ENA|DQ201177|","J670/71","Human enterovirus 70"
"0","0","ENA|DQ916376|","E210","Human enterovirus 94"
"0","0","ENA|EF107097|","isolate 19/04 DR Congo","Human enterovirus 94"
"0","0","ENA|EF107098|","olate 37-99 France","Human enterovirus 68"
